n,seccion,comentario_limpio
22159,4,"El café capuchino no estuvo rico, sabía a polvo. Lo demás estuvo bien."
22160,1,"No me gusta sentir la presión de los meseros por retirarte los platos; fuera de eso, todo bien."
22161,1,Ninguna
22162,5,muy bueno!!!
22163,5,Todo más que bien.
22164,5,Todo excelente.
22165,5,Todo bien
22166,5,Muy buen servicio
22167,5,Denles prestaciones a sus trabajadores :)
22168,4,Que los meseros (as) sean menos juiciosos con los estudiantes que vienen a consumir y no sean groseros. No nos hacen el favor atendiéndonos. 👍🏼
22169,4,"A pesar de que seamos jóvenes, deberían tener un trato más amable con nosotros. Creo que el buen trato debe ser por ambas partes."
22170,4,Todo muy bien.
22171,4,todo excelente
22172,5,Gracias por el esfuerzo para dar un buen servicio.
22173,5,"Gracias, todo bien."
22174,5,"Muy buen servicio, la comida está muy buena."
22175,5,"Pasamos muy rápido, no como otros días."
22176,5,"Realizar descuentos a personas con INAPAM, adultos mayores."
22177,5,Segunda vez que venimos y está muy rico todo.
22178,5,Pinche gente que va al baño. Me llegó un güey y me dijo que me saliera. Bien verga.
22179,5,Rico
22180,5,Excelente servicio al cliente por parte de Yedana.
22181,2,Excelente servicio y atención del joven David Correa. Siempre atento a las necesidades de los comensales.
22182,5,"Todo súper, muy rico y buena atención."
22183,5,Me gusta mucho este restaurante.
22184,5,Excelente
22185,5,"Excelente servicio, los amo."
22186,5,"Todo muy rico, excelente servicio."
22187,4,Hubo amabilidad y excelente actitud de servicio.
22188,5,"Una sucursal en Pachuca estaría muy bien, ya en zona fresa."
22189,5,Ninguna
22190,5,Todo muy bien. Somos visitantes de Chihuahua.
22191,4,"En el servicio para llevar, el otro día, nos cobraron de más y se tardaron demasiado en hacernos el debido ajuste. Ya habíamos pagado y nos faltaba dinero de vuelta."
22192,4,Estaría bien que el chocolate lo sirviera en jarrito y también el café de olla.
22193,5,Excelente sabor y atención al cliente.
22194,5,Excelente
22195,5,Muchas gracias...
22196,4,"El servicio de valet no es el mejor, mal el estacionamiento con costo."
22197,5,"Me encanta todo. El sabor, la atención y el lugar. Continúen mejorando."
22198,5,Luego volvemos :)
22199,4,"De un mes para acá he estado observando que disminuye la porción de proteína en el pozole. También he visto que cambió el shop, teniendo la tortilla más grande y menos bistec. Por favor, si tienen que subir los precios, súbanlos, pero no cambien las presentaciones para economizar."
22200,1,Ninguno
22201,5,Siempre es un lujo comer aquí.
22202,5,Excelente servicio del 1 al 10 le doy un 1000. Gracias.
22203,4,"Excelente servicio de Juan, Isaac."
22204,1,Mejorar trato a trabajadores...
22205,4,"Excelente pozole, gracias."
22206,4,"El servicio, excelente, gracias."
22207,1,"Excelente, muchas gracias."
22208,5,Todo muy rico.
22209,5,Todo muy bueno.
22210,5,"Muy bien servicio de todos y de la persona que nos atendió, muy amable."
22211,5,"Excelente servicio, sigan así y no cambien nunca."
22212,5,Muy rica comida.
22213,5,todo excelente
22214,1,Excelente
22215,5,Muy rico todo y muy buen servicio. Gracias.
22216,1,Me atendió bien Mirón.
22217,1,No puede ser que el envase del refresco venga sucio.
22218,5,"Pese a que había mucha gente, nos atendieron rapidísimo. Gracias."
22219,5,Pongan panzita :)
22220,4,"El café capuchino no debe venir endulzado, estaba demasiado dulce, ¡muuuy dulce!"
22221,5,Ayer fue la primera vez que lo visitamos y hoy regresamos.
22222,5,El personal es excelente.
22223,5,"Todo muy bien, gracias."
22224,1,"Excelente servicio, muchas gracias."
22225,2,El jugo natural de naranja tenía un sabor muy peculiar a muy maduro (echado a perder).
22226,4,Todo excelente. Gracias.
22227,5,Me encantó el servicio brindado por el personal.
22228,5,Buena atención
22229,5,"Excelente servicio, solo faltaban baños."
22230,4,"Excelente servicio, buena atención."
22231,4,Alimentos ricos y el servicio muy rápido.
22232,4,Ninguno
22233,5,Excelente servicio por parte de todo el personal.
22234,1,Todo muy bien.
22235,5,Todo muy rico.
22236,5,Todo perfecto
22237,2,Todo excelente.
22238,5,Excelente servicio
22239,5,Muy buen servicio.
22240,5,"Muy bueno todo con cariño, Fernanda y Lalo."
22241,4,El servicio de valet parking no debería ser obligatorio.
22242,5,Todo excelente sabor precio todo.
22243,5,Muy buen servicio.
22244,2,"Mejoraría la preparación de los huevos; he tenido malas experiencias con varios: muy salados, insípidos, muy dorados. De ahí en fuera, todo muy bien."
22245,5,Muy buen servicio.
22246,4,Ninguna.
22247,4,Antes ofrecían más caldito y así y tenían la orden de aguacate; hoy solo tiene guacamole.
22248,2,Na
22249,5,Excelente atención
22250,5,"El postre habría que traerlo a la mesa al final, no como primer plato."
22251,5,"Comida muy buena, solo que corren mucho."
22252,4,Muy buen servicio :)
22253,1,Buen servicio
22254,2,Todo muy rico.
22255,5,Los amé.
22256,5,Muy buen servicio.
22257,5,"Ningún comentario, todo excelente."
22258,5,Muy buen servicio y comida.
22259,5,Muy bueno.
22260,5,"Sigan así, es todo lo que puedo decir."
22261,5,Gracias a todos.
22262,5,Gracias por tanta amabilidad.
22263,5,Me encantan las flautas de carne.
22264,4,Me incomoda un poco que todo sea demasiado rápido y el estar recogiendo pastos igual.
22265,5,Excelente servicio
22266,2,Todo increíble.
22267,5,"Claro, por favor proporciona el texto que deseas que revise."
22268,5,No
22269,5,Genial
22270,5,Eccellenza
22271,4,Que suben los precios a cada rato.
22272,1,Muy buen sabor.
22273,5,"Que te trajeran las salsas y no las tengas que pedir de una en una, y a los que siempre venimos es al flan de la abuela."
22274,5,Muy bueno y rápido.
22275,4,"Todo excelente, me encanta el lugar; siempre nos atienden muy bien."
22276,5,Todo perfecto 👌
22277,2,No😁
22278,5,Feliz
22279,5,Muy rico sabor.
22280,5,Ninguna
22281,5,"Las flautas estuvieron muy doradas, todo lo demás muy bien."
22282,4,Me encanta.
22283,4,"Diría que agregaran más alimentos, como las gorditas."
22284,5,"Muy buena atención, la chica estuvo acercándose constantemente, muy buen servicio."
22285,5,Todo bien.
22286,2,"Todo súper rico como siempre, solo que ahora sentí las tostadas más pobrecitas."
22287,4,Les quedó delicioso. 😋 👌❤️
22288,2,Continúen con el buen servicio.
22289,2,Ofrecer agua de sabores con bajo contenido de azúcar y no cobrar estacionamiento.
22290,1,El servicio de los trabajadores y la atención tan amable de la capitana Anabel.
22291,5,"No deberían dejar pasar personas a la parte de arriba si todavía no se encuentra disponible la mesa, porque hay aglomeración y caos."
22292,1,Muy bueno y mejor.
22293,5,Podrían hacer más paquetes.
22294,2,Son los mejores.
22295,4,Revisar la calidad en la carne de las flautas.
22296,4,"Normalmente visito sucursal Zona Azul, alimentos, atención y limpieza siempre bien!!! 👍 En esta ocasión sucursal Echegaray, pedí 2 quesadillas de queso al comal y me las mandaron mojadas. Las regresé y solo las aventaron a la plancha, evidentemente todo cambia. Los tacos de bistec con demasiado nervio. La atención muy lenta. Y las cervezas muy sucios los envases. Definitivamente Echegaray no regresó."
22297,1,Son muy amables. Ninguna observación negativa por el momento. Gracias.
22298,1,Mejorar la calidad del pollo; antes era mejor.
22299,1,Excelente servicio
22300,1,"Ninguna, su organización es bastante adecuada."
22301,5,"Todo excelente, súper amables."
22302,5,"Para ser nuestra primera vez en la casa de Toño, todo fue excelente."
22303,4,Excelente
22304,1,"Dejé de acudir a esta sucursal por el servicio, sin embargo, grata sorpresa que me llevo, la atención ha mejorado y la capitana Mariana muy amable."
22305,5,"Los capitanes son muy atentos, siempre están al pendiente junto con los meseros. Muchas felicidades."
22306,4,Que haya mole.
22307,1,GRACIAS
22308,4,La verdad es que todo está súper excelente.
22309,4,"Pedí un pozole y me pregunta la mesera que si lo quería con cebolla, rábanos y lechuga. Yo respondí: ""Solo con poca lechuga, por favor"". Y me lo traen con lechuga, rábanos y cebolla. Les digo: ""Así no lo pedí"" y me mandan al encargado de camisa roja, que me dice que así está en su orden. Le dije: ""Revisa bien, por favor"". Y casi como que me hace el favor y me dice: ""No trae mucha cebolla ni rábanos"". O sea, ""entonces aquí vengo para que me den lo que pido o lo que me quieran dar""."
22310,5,"Felicidades por el buen servicio, sigan así."
22311,2,"Muy buen servicio, atentos y respetuosos. Buena comida y sabor."
22312,1,El taco de cochinita no fue lo que esperaba; le faltaban frijoles y la quesadilla era más pequeña de lo habitual.
22313,5,Mucho tiempo de espera.
22314,1,Muy buen servicio👍😀
22315,1,Muy bueno
22316,4,"Claro, por favor proporciona el texto que deseas que revise."
22317,4,Ninguno
22318,4,Excelente servicio
22319,4,Excelente servicio y sabor.
22320,5,"El aire acondicionado estaba muy alto, al grado que se enfriaba la comida muy rápido. Eso sí, deberían de tomarlo en cuenta."
22321,1,Excelente trato de capitanes y meseros.
22322,1,Excelente servicio de la Capitana Anabel y muy rica la comida.
22323,4,"Cambiaron las tostadas, estas."
22324,1,"La crema no está buena, sugiero que sea Alpura, complementa perfecto el sabor de sus platillos."
22325,4,"La mesera nos atendió de maravilla, su nombre es Paulina."
22326,5,"Muy rico todo, siempre que viajo a la ciudad me encanta comer aquí. Solo recuerdo que antes el agua era un poco más grande."
22327,5,"No se debería cobrar la crema y el queso, ya que son esenciales para el platillo."
22328,2,"Muy eficiente el capitán de la mesa y los meseros muy serviciales. Como siempre, excelente servicio."
22329,1,El texto ya está correcto.
22330,4,Nada en absoluto. Servicio bueno.
22331,1,Ok
22332,4,Todo bien.
22333,4,Todo bien
22334,2,Mi único comentario es que el aire acondicionado está muy frío y que sería bueno que pudieran bajarle un poco más.
22335,5,Todo bien hasta ahora. Gracias.
22336,5,Todo excelente.
22337,4,¿Cuál es el Instagram de la chica que nos atendió en Echegaray ❤️? Solo escuchamos Krysti.
22338,2,"Todo muy bien, los chicos y el capitán muy atentos. Gracias."
22339,5,"Me encantó el sabor de las quesadillas y del sope, estaban en su punto."
22340,5,Todo bien 😊
22341,5,Muy atentos los chicos.
22342,1,Todo estuvo excelente.
22343,1,Nada
22344,4,Excelente servicio de su personal.
22345,5,"Que sigan con su excelente servicio como hasta ahora: atención, firmeza y todo en tiempo."
22346,2,"Me gustaría que los comentarios influyan en bonos para los trabajadores, que se les dé de comer; o bien, que se les haga descuento al consumir los alimentos de aquí. Deseo que la encuesta sea para premiarlos y no para buscar sus fallas."
22347,4,Todo muy bien.
22348,4,Todo bien
22349,2,"En la preparación de las flautas, lo correcto sería: crema, queso y lechuga, en ese orden… ¿Como las traen? Al tomarlas, se cae todo. Con la crema, adhieres los demás ingredientes. 😋"
22350,1,La comida muy rica y el servicio excelente por la capitana Anabel.
22351,5,Son lindos los meseros y meseras.
22352,2,El pozole no trae mucha carne.
22353,2,"Los capitanes son muy atentos y respetuosos, incluyendo a los meseros."
22354,5,Solo tener más paciencia con las personas.
22355,5,El pozole está bueno.
22356,5,Excelente servicio. :)
22357,5,Gracias.
22358,2,Que tengan promociones para el cumpleañero.
22359,2,El servicio fue muy bueno.
22360,5,"Muy bueno todo, pero más importante para mi familia y yo fue el servicio que la mesera Jaqueline Vargas nos dio. Muchas gracias :)"
22361,5,Todo bien
22362,5,Lo mejor en México.
22363,5,Todo excelente.
22364,1,Los precios son razonables y la atención es buena.
22365,4,Todo excelente.
22366,5,Ya no suban más el precio del pozole.
22367,4,La erenvil 3xcele t
22368,5,Bendita sea el agua de horchata. Los quiero mucho.
22369,4,"Excelente servicio, muy bueno."
22370,1,Excelente servicio y calidad.
22371,5,Su comida es la más rica de todos los restaurantes. Gracias por toda su atención.
22372,4,"Gracias por el servicio, todo muy rico y lo voy a recomendar a todos."
22373,1,"Vengo de otro estado, y cada vez que vengo, recibo un excelente servicio."
22374,4,Todo excelente
22375,5,"Buen servicio, el pozole debería estar más caliente."
22376,1,Si
22377,5,"Súbanle el sueldo a sus empleados, se lo merecen."
22378,5,"Me gusta que intenten atender rápido, pero creo que se ve mal que estén corriendo por el local. A veces quieren hacer todo rápido y no traen el pedido completo. Solo como crítica constructiva. La comida, muy rica."
22379,2,El servicio fue muy amable.
22380,4,Felicidades excelente
22381,5,Muy buen servicio
22382,1,El día de hoy no me gustó la atención.
22383,5,Excelente servicio
22384,2,Gracias.
22385,1,"Excelente servicio, calidad y precio."
22386,5,Muy rica comida y excelente servicio de los meseros.
22387,5,Fernando Hernández nos brindó un servicio excepcional. ¡10/10!
22388,2,"Excelente servicio, sigan así."
22389,5,"Todo increíble, la comida requisita y el servicio excelente. Sin duda, siempre que vengo a CDMX visito Casa Toño."
22390,4,Todo muy bien. Sigan así.
22391,5,"Muy agradable, excelente servicio por parte del personal y muy delicioso. :)"
22392,1,Que vendan pancita.
22393,5,Ofrezcan porciones de frijoles más pequeñas.
22394,5,Todo excelente.
22395,1,Que quiten los platos hasta que terminen los comensales.
22396,4,"Me gusta el sabor de la comida, aunque siento que el cobrar todo aparte no está tan bien."
22397,5,"Sigan así, buena experiencia. 👏"
22398,5,"Nos encantó todo: la comida, el servicio, el ambiente. ¡Volvería siempre! Muchas gracias."
22399,5,excelente servicio
22400,5,"La estancia fue breve, pero noté como que no se involucran mucho los meseros en el servicio; literal, te dejan los platillos y no se vuelven a acercar, a excepción de uno. En general, un 7."
22401,1,Excelente servicio
22402,1,Excelente
22403,1,Ha bajado un poco la calidad de sus insumos.
